audio_path,caption
/workspace/data/epidemic-audios/misc-foley/JqBOuORWjJ.wav,The sound of a hard object being rubbed against a soft surface.
/workspace/data/epidemic-audios/misc-foley/Jp3sNDpDCg.wav,The audio captures the sound of a loud slap.
/workspace/data/epidemic-audios/misc-foley/JmEqgll3tc.wav,The sound of two pieces of wood being struck together repeatedly.
/workspace/data/epidemic-audios/misc-foley/JlJQO3O7VO.wav,"The clear and crisp sound of a book being closed in mono, with no background noise. Perfect for use in a library."
/workspace/data/epidemic-audios/misc-foley/Jehua03ukU.wav,"A thumping sound occurs, and in the background, the sound of a ping pong ball hitting a racket can be heard."
/workspace/data/epidemic-audios/misc-foley/JaY9JDPYGz.wav,"A person knocking on a door. The audio is clear and crisp, in mono, and from the perspective of the person knocking on the door."
/workspace/data/epidemic-audios/misc-foley/JYYoa0h9UN.wav,The sound of a squeaky toy being played with.
/workspace/data/epidemic-audios/misc-foley/JTNFRi6p7V.wav,The sound of a gun being cocked.
/workspace/data/epidemic-audios/misc-foley/JRzNLLKPwt.wav,"The sound of a metal latch being unlocked from a wooden door, with the latch rattling as it is being unlocked from the outside perspective."
/workspace/data/epidemic-audios/misc-foley/JQC8mRRcPN.wav,The audio clip features a loud clattering sound.
/workspace/data/epidemic-audios/misc-foley/JPJDw5r0Vn.wav,The audio captures the sound of a book being dropped on a hard surface.
/workspace/data/epidemic-audios/misc-foley/J87ZnawBdn.wav,The sound of a pencil scratching on paper.
/workspace/data/epidemic-audios/misc-foley/J7mhaDrWAM.wav,"The sound of a person jumping and landing on a mattress, with the audible compression of the mattress under their weight. The audio is in mono."
/workspace/data/epidemic-audios/misc-foley/J6smJulz15.wav,The sound of a metal object being dragged on a hard surface.
/workspace/data/epidemic-audios/misc-foley/J2VgKTJcam.wav,"The loud thumping sound is followed by a book falling to the floor, creating a very loud noise that can be heard from a distance."
/workspace/data/epidemic-audios/misc-foley/J0VOK2qGuA.wav,The sound of paper being ripped.
/workspace/data/epidemic-audios/misc-foley/IyVMt4KjK6.wav,"The clear and loud sound of an object being dropped onto a hard surface fills the audio. It is in mono and has no background noise, making it suitable for use in a video game or movie, or even as a ringtone."
/workspace/data/epidemic-audios/misc-foley/IwSeD6mOXG.wav,The clicking sounds of a camera shutter.
/workspace/data/epidemic-audios/misc-foley/IsiNyKQV3D.wav,The sound of a metal object being scraped against a hard surface.
/workspace/data/epidemic-audios/misc-foley/IribqoXgwx.wav,The sound of a ball being dropped onto a hard surface.
/workspace/data/epidemic-audios/misc-foley/IqeDTUGS4V.wav,"The sound of a person walking on a wooden floor, including the distinct sound of their footsteps."
