audio_path,caption
/workspace/data/epidemic-audios/zippers/zLG5NsC4Oc.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/yujEXP3CcI.wav,The sound of a zipper being opened.
/workspace/data/epidemic-audios/zippers/yX8U8OtyYF.wav,Audio of a dog barking.
/workspace/data/epidemic-audios/zippers/wdl5Oo4MqK.wav,The sound of a whip being cracked and flying through the air.
/workspace/data/epidemic-audios/zippers/uYp71C92QO.wav,The sound of flatulence.
/workspace/data/epidemic-audios/zippers/tlQxWNiB92.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/tAVRlW27NZ.wav,The sound of a zipper being zipped up.
/workspace/data/epidemic-audios/zippers/t5gcbKhL2l.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/sE9lDgepkL.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/rsvNlu0wtY.wav,The sound of a zipper being zipped up.
/workspace/data/epidemic-audios/zippers/rEjr0RNzKP.wav,The sound of a small object being slid across a hard surface.
/workspace/data/epidemic-audios/zippers/pkdmqgu1v8.wav,A squeaky toy being dragged across a hard surface.
/workspace/data/epidemic-audios/zippers/pRNClzPaXl.wav,The sound of a zipper being opened.
/workspace/data/epidemic-audios/zippers/pC1V9cV7X5.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/odtx6CnZnd.wav,The sound of a small object being dragged on a hard surface.
/workspace/data/epidemic-audios/zippers/oRQ2WOQmLr.wav,The sound of a loud zipper.
/workspace/data/epidemic-audios/zippers/oCACt66wWJ.wav,The sound of a zipper being zipped.
/workspace/data/epidemic-audios/zippers/nPCBE7MXYj.wav,The sound of a zipper being opened.
/workspace/data/epidemic-audios/zippers/mrpS8p53ma.wav,The sound of a zipper being zipped and unzipped.
/workspace/data/epidemic-audios/zippers/m7mOj7LwuW.wav,A high pitched hissing sound.
/workspace/data/epidemic-audios/zippers/lfOs5HS5mw.wav,The audio features a high-pitched buzzing sound.
/workspace/data/epidemic-audios/zippers/lWX9AvoLAC.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/jFkESoKkwJ.wav,"A low quality recording of a distant vehicle passing by, with a distorted and muffled sound. There are no voices or other sounds present in the recording."
/workspace/data/epidemic-audios/zippers/ibiEgM0Tk1.wav,The sound of a zipper being opened.
/workspace/data/epidemic-audios/zippers/hguVXQldx5.wav,"The audio captures the rhythmic and powerful breathing of a large animal, like a horse or elephant, through its nostrils."
/workspace/data/epidemic-audios/zippers/gingkx0oSc.wav,The sound of a zipper being zipped up.
/workspace/data/epidemic-audios/zippers/gZqwAmAhAe.wav,The sound of a zipper being zipped up.
/workspace/data/epidemic-audios/zippers/gTovQT96Su.wav,The sound of a zipper being zipped and unzipped.
/workspace/data/epidemic-audios/zippers/gIjS9Hylww.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/fAiRjQdkV6.wav,The sound of a zipper being zipped and unzipped.
/workspace/data/epidemic-audios/zippers/dr7Z0iecGX.wav,The sound of a piece of paper being ripped.
/workspace/data/epidemic-audios/zippers/cqNFP6jnra.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/cmDotXy9gN.wav,The sound of a zipper being zipped up.
/workspace/data/epidemic-audios/zippers/akYCuR5W59.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/aC2L5FmTUF.wav,The sound of a knife being sharpened on a sharpening stone.
/workspace/data/epidemic-audios/zippers/ZxBnJy0a5W.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/Y8bBK0xuDF.wav,The sound of a zipper being zipped and unzipped.
/workspace/data/epidemic-audios/zippers/Y6EklAFAlE.wav,The sound of a zipper being zipped up.
/workspace/data/epidemic-audios/zippers/Y0QKaRh8qu.wav,The sound of a zipper opening and closing.
/workspace/data/epidemic-audios/zippers/XpdLRpqrKP.wav,The sound of an object being quicky slid on a surface with short pauses in between.
/workspace/data/epidemic-audios/zippers/SgVBbwrToc.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/UMam7r81Tp.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/S9rn3IqTBj.wav,The sound of a zipper being zipped and unzipped.
/workspace/data/epidemic-audios/zippers/RbALMu5Eyh.wav,The sound of pages being flipped through in a book.
/workspace/data/epidemic-audios/zippers/RMUScrQ0Hb.wav,The sound of a zipper being zipped up.
/workspace/data/epidemic-audios/zippers/QopEeWP6mC.wav,The sound of a zipper being zipped up.
/workspace/data/epidemic-audios/zippers/PV8GCAXAMv.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/PR4NcRnYqe.wav,The sound of a zipper being opened.
/workspace/data/epidemic-audios/zippers/POTtDENqDX.wav,The sound of a zipper being opened.
/workspace/data/epidemic-audios/zippers/PI1VzH80x1.wav,The sound of a zipper being opened and closed quickly.
/workspace/data/epidemic-audios/zippers/PEtXfF1oDN.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/OlXCS52Zre.wav,The sound of a zipper being pulled.
/workspace/data/epidemic-audios/zippers/MzQbBBlXs3.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/MyR0obxLsp.wav,The sound of a zipper being zipped up.
/workspace/data/epidemic-audios/zippers/MmR4kC4hoC.wav,The sound of a zipper being zipped up.
/workspace/data/epidemic-audios/zippers/LU30LDcxTD.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/LEBs3OoAww.wav,The sound of a zipper being opened and closed rapidly.
/workspace/data/epidemic-audios/zippers/L4V256jJTp.wav,The sound of a zipper being opened.
/workspace/data/epidemic-audios/zippers/KuyrI8nVTF.wav,The sound of a zipper being open and closed.
/workspace/data/epidemic-audios/zippers/KKTqg2IBP4.wav,"A brief, high-pitched squeak."
/workspace/data/epidemic-audios/zippers/Jqie3qAdZi.wav,The sound of a zipper being zipped up.
/workspace/data/epidemic-audios/zippers/J61peiW8Qw.wav,The sound of a zipper being zipped up.
/workspace/data/epidemic-audios/zippers/HV5D5E6b1q.wav,The sound of a zipper being zipped up.
/workspace/data/epidemic-audios/zippers/H27d2IFQPW.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/FwPROfeh2M.wav,The sound of a zipper being opened.
/workspace/data/epidemic-audios/zippers/FwIk6GoQyo.wav,The sound of a zipper being zipped up quickly.
/workspace/data/epidemic-audios/zippers/FQciclRbyV.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/EvtSyhmqJP.wav,"A short, high-pitched scratching sound."
/workspace/data/epidemic-audios/zippers/DzmG8tkgaO.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/DeFMPfK0pW.wav,The sound of a zipper being zipped and unzipped.
/workspace/data/epidemic-audios/zippers/BuLxr68Q02.wav,The quick sound of a zipper being zipped up.
/workspace/data/epidemic-audios/zippers/BAEp3H3k9u.wav,The sound of a zipper being zipped and unzipped.
/workspace/data/epidemic-audios/zippers/AXBTVZzh4I.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/AQWSFBWie9.wav,The sound of a zipper being zipped up rapidly.
/workspace/data/epidemic-audios/zippers/A6c4a1Sh0Z.wav,A brief whooshing sound.
/workspace/data/epidemic-audios/zippers/9tMuYslyDw.wav,The sound of a zipper being zipped up.
/workspace/data/epidemic-audios/zippers/9mIcZithXp.wav,The sound of paper being ripped.
/workspace/data/epidemic-audios/zippers/9CpgyQKp3A.wav,The sound of a zipper being quickly zipped up.
/workspace/data/epidemic-audios/zippers/7RopjdBPF2.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/6TWqDIFgGD.wav,A high pitched screeching sound.
/workspace/data/epidemic-audios/zippers/4qk09c6BRd.wav,The sound of a zipper being opened and closed.
/workspace/data/epidemic-audios/zippers/4dzWDMpb5U.wav,The sound of a zipper being zipped.
/workspace/data/epidemic-audios/zippers/2sFqiK55T6.wav,The sound of a zipper being zipped up.
/workspace/data/epidemic-audios/zippers/1dadfWvNSj.wav,The buzzing sound of a fly near the microphone.
/workspace/data/epidemic-audios/wooden-drawer/zwstg7jCkB.wav,"The sound of a metallic object being dragged across a metallic surface, followed by a loud metallic clang. This audio is perfect for creating a metallic environment in a video game or movie."
/workspace/data/epidemic-audios/wooden-drawer/zeiOGVdbSy.wav,The sound of a car door opening and closing.
/workspace/data/epidemic-audios/wooden-drawer/zbfevVFVWH.wav,"A brief scraping or rubbing sound against a surface, followed by a pause and then more scraping or rubbing against the same surface."
/workspace/data/epidemic-audios/wooden-drawer/ypZNU8Qfbf.wav,The sound of a wooden door being opened slowly.
/workspace/data/epidemic-audios/wooden-drawer/ym2kpmYmnZ.wav,The sound of a door being opened and then closed.
/workspace/data/epidemic-audios/wooden-drawer/yWc2i5uVXK.wav,The sound of a sliding door being opened.
/workspace/data/epidemic-audios/wooden-drawer/yP7i7RTdgL.wav,The sound of cards being shuffled.
/workspace/data/epidemic-audios/wooden-drawer/yDIndRbDC2.wav,The sound of a drawer being opened and closed.
/workspace/data/epidemic-audios/wooden-drawer/y8w0uiL74s.wav,The sound of a drawer being opened and closed.
/workspace/data/epidemic-audios/wooden-drawer/xscY3B5STo.wav,The sound of a wooden drawer being opened and closed.
/workspace/data/epidemic-audios/wooden-drawer/xqUjlmLKQC.wav,The sound of a door opening and closing.
/workspace/data/epidemic-audios/wooden-drawer/xcHjD1TJPE.wav,The sound of a metal drawer being opened.
/workspace/data/epidemic-audios/wooden-drawer/xiWa1zXa7e.wav,This audio clip contains the sound of rustling.
/workspace/data/epidemic-audios/wooden-drawer/xbhKnwbhWK.wav,The sound of a car door being closed.
/workspace/data/epidemic-audios/wooden-drawer/xHMksb11gD.wav,The sound of a car door being opened and then closed.
/workspace/data/epidemic-audios/wooden-drawer/x65n8wnmR5.wav,The sound of a wooden object being scraped across a wooden surface.
/workspace/data/epidemic-audios/wooden-drawer/x4Tc08HNYx.wav,The sound of a sliding door as it opens and then closes.
/workspace/data/epidemic-audios/wooden-drawer/weZP7qWFvH.wav,The sound of a sliding door being opened and closed.
/workspace/data/epidemic-audios/wooden-drawer/wOG5knpdaw.wav,"The sound of a metal door being opened and closed in a clear and quality audio. Perfect for use in video games, movies, and videos to represent the opening and closing of a door."
/workspace/data/epidemic-audios/wooden-drawer/wFdztPBKEi.wav,The screeching sound of a chair being pushed across a wooden floor.
/workspace/data/epidemic-audios/wooden-drawer/w7ZoMFrBDE.wav,The sound of a chair being pushed across a hard surface.
/workspace/data/epidemic-audios/wooden-drawer/w3HRZZkvtF.wav,The sound of a metal drawer being opened and closed.
/workspace/data/epidemic-audios/wooden-drawer/vbEncXwo03.wav,The sound of a metallic object being dropped onto a hard surface.
/workspace/data/epidemic-audios/wooden-drawer/vXjSitnr5t.wav,The sound of a door opening and closing.
/workspace/data/epidemic-audios/wooden-drawer/vRRhFXUWAX.wav,The sound of a car door closing.
/workspace/data/epidemic-audios/wooden-drawer/vFs4tFfbln.wav,"The audio is of a door being opened and closed, with the door creaking and squeaking as it moves. It is clear and crisp with no background noise, and is in mono."
/workspace/data/epidemic-audios/wooden-drawer/tzASoPay6b.wav,The sound of a door opening and closing.
/workspace/data/epidemic-audios/wooden-drawer/tjqQUpH2T6.wav,The sound of a hard object being dragged across a rough surface.
/workspace/data/epidemic-audios/wooden-drawer/tI8YCmHSiQ.wav,"The audio features a metallic rattling noise followed by a thud, likely caused by the movement and fall of a metallic object."
/workspace/data/epidemic-audios/wooden-drawer/tADvyRrPdJ.wav,The sound of a hard object being dropped onto a hard surface.
/workspace/data/epidemic-audios/wooden-drawer/spenOP1NdK.wav,A brief thump is followed by several seconds of silence.
/workspace/data/epidemic-audios/wooden-drawer/si9AeBIxfg.wav,The sound of a vehicle door opening and closing.
/workspace/data/epidemic-audios/wooden-drawer/sRquBxKZRF.wav,The sound of a telephone being hung up.
/workspace/data/epidemic-audios/wooden-drawer/s8FvI9xNIH.wav,The sound of a sliding door closing and locking shut.
/workspace/data/epidemic-audios/wooden-drawer/rXKcVgfyTU.wav,The sound of scraping can be heard.
/workspace/data/epidemic-audios/wooden-drawer/qpPyiBlr5X.wav,The sound of a chair being pulled back and then pushed forward.
/workspace/data/epidemic-audios/wooden-drawer/qdZYOwAAQK.wav,The sound of a hard object being rubbed against a hard surface.
/workspace/data/epidemic-audios/wooden-drawer/qVzmkCVJk6.wav,The sound of a chair being moved across a hardwood floor.
/workspace/data/epidemic-audios/wooden-drawer/pZA4Xz7paN.wav,The sound of a hard object being placed on a hard surface.
/workspace/data/epidemic-audios/wooden-drawer/pIfyF03j0y.wav,The sound of a sliding door being closed.
/workspace/data/epidemic-audios/wooden-drawer/p7TaXvG1XS.wav,The sound of a mechanical scraping.
/workspace/data/epidemic-audios/wooden-drawer/p5Rg2idp9M.wav,"The sound of someone slamming a door, crisp and clear, with no other background noises. The audio is in low quality mono and is suitable for use in a horror movie."
/workspace/data/epidemic-audios/wooden-drawer/p2WHCaTELF.wav,The sound of a small object being dropped onto a hard surface.
/workspace/data/epidemic-audios/wooden-drawer/ozcvB1PX0S.wav,The sound of scraping can be heard.
/workspace/data/epidemic-audios/wooden-drawer/oyv5bUhQAD.wav,The sound of a hard object being dropped onto a hard surface.
/workspace/data/epidemic-audios/wooden-drawer/orwCqqhoFE.wav,The sound of a metal chair being dragged across a wooden floor.
/workspace/data/epidemic-audios/wooden-drawer/omi1CmkNah.wav,The sound of a chair being dragged across the floor.
/workspace/data/epidemic-audios/wooden-drawer/olNxsqzwYN.wav,The sound of a sliding door opening and closing.
