audio_path,caption
/workspace/data/epidemic-audios/bullet-hits/DK4eCmXoVt.wav,The sound of a glass bottle shattering on a hard surface.
/workspace/data/epidemic-audios/bullet-hits/CF9vM9uFpH.wav,"The sound of a hard object being thrown at a glass bottle, causing it to shatter and fall to the ground."
/workspace/data/epidemic-audios/bullet-hits/ANG1t5sefV.wav,The sound of a whip cracking in the air.
/workspace/data/epidemic-audios/bullet-hits/9xqNX206X5.wav,"The audio features the sound of a large object being dropped on a hard surface, with a muffled and echoing effect. It is in mono and free from background noise, making it a clean and clear sound. Perfect for simulating the sound of an object being dropped on a hard surface in video games, movies, or other audiovisual content."
/workspace/data/epidemic-audios/bullet-hits/9kUwqxAVCA.wav,The loud popping sound is heard.
/workspace/data/epidemic-audios/bullet-hits/9jmvXzdKWG.wav,"The sound of a gun being cocked and a bullet being loaded into the chamber, with the latter being louder than the former."
/workspace/data/epidemic-audios/bullet-hits/6aNiswJqWw.wav,The sound of metal objects being struck against each other.
/workspace/data/epidemic-audios/bullet-hits/6Dh6x7p5Al.wav,"A short burst of a sharp, high-pitched whistle followed by a long, sustained note that gradually fades away."
/workspace/data/epidemic-audios/bullet-hits/5Hjkxj9szP.wav,The sound of a gun being cocked followed by the firing of a bullet.
/workspace/data/epidemic-audios/bullet-hits/5Fc5IGGrpL.wav,A quick burst of a snare drum.
/workspace/data/epidemic-audios/bullet-hits/4v3hCPkiCq.wav,The sound of a hard object being dropped onto a hard surface.
/workspace/data/epidemic-audios/bullet-hits/4eY8TpWoZC.wav,The sound of a glass bottle shattering on a hard surface.
/workspace/data/epidemic-audios/bullet-hits/4aKXjK15zG.wav,"The audio consists of a close-range shotgun being fired, with clear sounds of the shotgun being cocked and the shot being fired."
/workspace/data/epidemic-audios/bullet-hits/4N78uYNuTB.wav,The sound of a gun being fired.
/workspace/data/epidemic-audios/bullet-hits/4BijPtoer2.wav,Rapid shots being fired from a machine gun.
/workspace/data/epidemic-audios/bullet-hits/4603RK1Qxx.wav,"The audio features a series of electronic pops and clicks, resembling the firing of a laser gun and a machine gun. With a futuristic mono sound, this audio is ideal for creating a futuristic atmosphere in a science fiction movie or video game. It can also serve as a sound effect for laser guns or machine guns in various media."
/workspace/data/epidemic-audios/bullet-hits/3i5JAYedpS.wav,A short burst of static followed by a burst of white noise.
/workspace/data/epidemic-audios/bullet-hits/3H013oBceG.wav,The sound of a gunshot followed by the sound of a bullet falling to the ground.
/workspace/data/epidemic-audios/bullet-hits/35V0ddiyLw.wav,A loud popping noise.
/workspace/data/epidemic-audios/bullet-hits/2WmP9CYvKk.wav,The sound of a whip being cracked.
/workspace/data/epidemic-audios/bullet-hits/1vsk6SRJUc.wav,"A series of gunshots fired from a firearm, loud and echoing."
/workspace/data/epidemic-audios/bullet-hits/1tZnSfRoSu.wav,A brief burst of static is emitted from a radio.
